date,category,commodity,unit,gtqprice,usdprice
1999-01-15,cereals and tubers,Maize (white),100 Pounds,50.58,7.2361
1999-01-15,cereals and tubers,Maize (yellow),100 Pounds,67.5,9.6567
1999-01-15,cereals and tubers,Potatoes,100 Pounds,209.58,29.9828
1999-01-15,cereals and tubers,Rice (high quality),100 Pounds,200.0,28.6123
1999-01-15,cereals and tubers,Rice (medium quality),100 Pounds,180.0,25.7511
1999-01-15,cereals and tubers,Sorghum,100 Pounds,48.75,6.9742
1999-01-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,89.17,12.7568
1999-01-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,131.67,18.8369
1999-01-15,pulses and nuts,Beans (black),100 Pounds,314.17,44.9456
1999-01-15,pulses and nuts,Beans (red),100 Pounds,313.75,44.8856
1999-01-15,pulses and nuts,Beans (white),100 Pounds,340.83,48.7597
1999-01-15,vegetables and fruits,Bananas (medium size),100 Pounds,63.0,9.0129
1999-01-15,vegetables and fruits,Cabbage,27 KG,9.58,1.3705
1999-01-15,vegetables and fruits,Carrots,13.92 KG,25.0,3.5765
1999-01-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,186.67,26.7053
1999-01-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,28.33,4.0529
1999-01-15,vegetables and fruits,Plantains (medium size),20.5 KG,58.75,8.4049
1999-02-15,cereals and tubers,Maize (white),100 Pounds,51.25,7.4491
1999-02-15,cereals and tubers,Maize (yellow),100 Pounds,61.67,8.9637
1999-02-15,cereals and tubers,Potatoes,100 Pounds,215.0,31.25
1999-02-15,cereals and tubers,Rice (high quality),100 Pounds,201.67,29.3125
1999-02-15,cereals and tubers,Rice (medium quality),100 Pounds,181.67,26.4055
1999-02-15,cereals and tubers,Sorghum,100 Pounds,48.17,7.0015
1999-02-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,55.17,8.0189
1999-02-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,219.0,31.8314
1999-02-15,pulses and nuts,Beans (black),100 Pounds,294.17,42.7573
1999-02-15,pulses and nuts,Beans (red),100 Pounds,335.83,48.8125
1999-02-15,pulses and nuts,Beans (white),100 Pounds,365.0,53.0523
1999-02-15,vegetables and fruits,Bananas (medium size),100 Pounds,65.0,9.4477
1999-02-15,vegetables and fruits,Cabbage,27 KG,10.75,1.5625
1999-02-15,vegetables and fruits,Carrots,13.92 KG,29.17,4.2398
1999-02-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,375.0,54.5058
1999-02-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,31.17,4.5305
1999-02-15,vegetables and fruits,Plantains (medium size),20.5 KG,64.58,9.3866
1999-03-15,cereals and tubers,Maize (white),100 Pounds,60.14,8.8441
1999-03-15,cereals and tubers,Maize (yellow),100 Pounds,65.0,9.5588
1999-03-15,cereals and tubers,Potatoes,100 Pounds,160.0,23.5294
1999-03-15,cereals and tubers,Rice (high quality),100 Pounds,202.14,29.7265
1999-03-15,cereals and tubers,Rice (medium quality),100 Pounds,185.0,27.2059
1999-03-15,cereals and tubers,Sorghum,100 Pounds,48.93,7.1956
1999-03-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,31.43,4.6221
1999-03-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,157.86,23.2147
1999-03-15,pulses and nuts,Beans (black),100 Pounds,258.93,38.0779
1999-03-15,pulses and nuts,Beans (red),100 Pounds,320.36,47.1118
1999-03-15,pulses and nuts,Beans (white),100 Pounds,399.29,58.7191
1999-03-15,vegetables and fruits,Bananas (medium size),100 Pounds,65.0,9.5588
1999-03-15,vegetables and fruits,Cabbage,27 KG,11.21,1.6485
1999-03-15,vegetables and fruits,Carrots,13.92 KG,26.43,3.8868
1999-03-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,375.0,55.1471
1999-03-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,30.29,4.4544
1999-03-15,vegetables and fruits,Plantains (medium size),20.5 KG,65.38,9.6147
1999-04-15,cereals and tubers,Maize (white),100 Pounds,61.33,8.7489
1999-04-15,cereals and tubers,Maize (yellow),100 Pounds,65.0,9.2725
1999-04-15,cereals and tubers,Potatoes,100 Pounds,122.5,17.475
1999-04-15,cereals and tubers,Rice (high quality),100 Pounds,202.08,28.8274
1999-04-15,cereals and tubers,Rice (medium quality),100 Pounds,185.0,26.3909
1999-04-15,cereals and tubers,Sorghum,100 Pounds,53.33,7.6077
1999-04-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,21.25,3.0314
1999-04-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,128.33,18.3067
1999-04-15,pulses and nuts,Beans (black),100 Pounds,262.5,37.4465
1999-04-15,pulses and nuts,Beans (red),100 Pounds,301.67,43.0342
1999-04-15,pulses and nuts,Beans (white),100 Pounds,398.33,56.8231
1999-04-15,vegetables and fruits,Bananas (medium size),100 Pounds,64.67,9.2254
1999-04-15,vegetables and fruits,Cabbage,27 KG,11.33,1.6163
1999-04-15,vegetables and fruits,Carrots,13.92 KG,24.17,3.4479
1999-04-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,346.0,49.3581
1999-04-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,33.64,4.7989
1999-04-15,vegetables and fruits,Plantains (medium size),20.5 KG,59.58,8.4993
1999-05-15,cereals and tubers,Maize (white),100 Pounds,58.17,8.0135
1999-05-15,cereals and tubers,Maize (yellow),100 Pounds,67.27,9.2671
1999-05-15,cereals and tubers,Potatoes,100 Pounds,107.5,14.8092
1999-05-15,cereals and tubers,Rice (high quality),100 Pounds,200.0,27.552
1999-05-15,cereals and tubers,Rice (medium quality),100 Pounds,185.0,25.4856
1999-05-15,cereals and tubers,Sorghum,100 Pounds,50.0,6.888
1999-05-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,38.75,5.3382
1999-05-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,85.0,11.7096
1999-05-15,pulses and nuts,Beans (black),100 Pounds,250.83,34.5544
1999-05-15,pulses and nuts,Beans (red),100 Pounds,330.42,45.5187
1999-05-15,pulses and nuts,Beans (white),100 Pounds,395.83,54.5296
1999-05-15,vegetables and fruits,Bananas (medium size),100 Pounds,65.0,8.9544
1999-05-15,vegetables and fruits,Cabbage,27 KG,10.17,1.401
1999-05-15,vegetables and fruits,Carrots,13.92 KG,20.0,2.7552
1999-05-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,230.0,31.6848
1999-05-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,33.75,4.6494
1999-05-15,vegetables and fruits,Plantains (medium size),20.5 KG,60.0,8.2656
1999-06-15,cereals and tubers,Maize (white),100 Pounds,58.2,7.9617
1999-06-15,cereals and tubers,Maize (yellow),100 Pounds,70.33,9.6211
1999-06-15,cereals and tubers,Potatoes,100 Pounds,98.67,13.4979
1999-06-15,cereals and tubers,Rice (high quality),100 Pounds,200.67,27.4514
