,mes,ADM2_PCODE,n_pixels,lon,lat,precipitacion,tmin,tmax,mes_anterior,anio_anterior,vim,pred
73025,10,1802,41.5,-89.15110499999999,15.77735562,252.81049,24.239254,31.50248,0.8101833333333334,0.8042166666666667,0.8161999999999999,0.8263729738792005
73340,11,1802,41.5,-89.15110499999999,15.77735562,317.76306,21.399965,27.716982,0.8161999999999999,0.8043166666666667,0.819,0.8381145931124485
73655,12,1802,41.5,-89.15110499999999,15.77735562,198.87875,21.025312,28.521317,0.819,0.80025,0.8165833333333333,0.8243679620242033
73970,1,1802,41.5,-89.15110499999999,15.77735562,245.16524,19.82838,26.814407,0.8165833333333333,0.7915,0.81065,0.8214738545562021
74285,2,1802,41.5,-89.15110499999999,15.77735562,190.35742,19.390926,28.278448,0.81065,0.7798833333333333,0.80435,0.8031127268133733
74600,3,1802,41.5,-89.15110499999999,15.77735562,99.55066,21.539997,29.91313,0.80435,0.7721833333333333,0.80145,0.7920780254391828
74915,4,1802,41.5,-89.15110499999999,15.77735562,151.5993,22.668783,31.634283,0.80145,0.7701166666666667,0.80455,0.7927104544477974
75230,5,1802,41.5,-89.15110499999999,15.77735562,193.61862,23.877396,32.459373,0.80455,0.7794833333333333,0.8099666666666666,0.8032257903035506
75545,6,1802,41.5,-89.15110499999999,15.77735562,534.70166,23.54487,30.281006,0.8099666666666666,0.7949,0.8083666666666667,0.8469870104075902
75860,7,1802,41.5,-89.15110499999999,15.77735562,719.60376,22.867641000000003,30.52395,0.8083666666666667,0.8031166666666666,0.8028833333333333,0.8614172753791504
76175,8,1802,41.5,-89.15110499999999,15.77735562,617.87317,17.664675,31.45459,0.8028833333333333,0.8062166666666667,0.8042333333333334,0.8282554801839735
76490,9,1802,41.5,-89.15110499999999,15.77735562,666.25195,19.262543,32.39396,0.8042333333333334,0.8101833333333334,0.81025,0.8375452251530485
76805,10,1802,41.5,-89.15110499999999,15.77735562,651.0053,19.41399,31.751474,0.81025,0.8161999999999999,0.8139,0.8448614877502243
77120,11,1802,41.5,-89.15110499999999,15.77735562,375.1547,21.170902,29.825163,0.8139,0.819,0.8154333333333333,0.8384491600516895
77435,12,1802,41.5,-89.15110499999999,15.77735562,317.05328,18.071247,30.091818,0.8154333333333333,0.8165833333333333,0.8122166666666667,0.8212448385496963
77750,1,1802,41.5,-89.15110499999999,15.77735562,101.5107,18.809713,30.876188,0.8122166666666667,0.81065,0.8054333333333333,0.7954340681475408
78065,2,1802,41.5,-89.15110499999999,15.77735562,257.74707,18.649353,31.159983,0.8054333333333333,0.80435,0.7982833333333333,0.8013870516683291
78380,3,1802,41.5,-89.15110499999999,15.77735562,221.33694,19.064558,33.4129,0.7982833333333333,0.80145,0.7948333333333334,0.7873648238683684
78695,4,1802,41.5,-89.15110499999999,15.77735562,171.9852,19.043398,34.7092,0.7948333333333334,0.80455,0.7951833333333332,0.7780875502515608
79010,5,1802,41.5,-89.15110499999999,15.77735562,30.68872,19.868393,34.409286,0.7951833333333332,0.8099666666666666,0.7891,0.7728085797604596
79325,6,1802,41.5,-89.15110499999999,15.77735562,149.78055,21.057554,35.257645,0.7891,0.8083666666666667,0.78125,0.7807774025255387
79640,7,1802,41.5,-89.15110499999999,15.77735562,1072.1179,20.68581,32.63519,0.78125,0.8028833333333333,0.7839833333333334,0.8602627493257047
79955,8,1802,41.5,-89.15110499999999,15.77735562,481.50192,20.901726,32.898163,0.7839833333333334,0.8042333333333334,0.7939666666666666,0.812830461448002
80270,9,1802,41.5,-89.15110499999999,15.77735562,280.52078,21.335321000000004,33.64031,0.7939666666666666,0.81025,0.80415,0.8029225392360322
80585,10,1802,41.5,-89.15110499999999,15.77735562,482.87003,21.004276,33.09461,0.80415,0.8139,0.8131499999999999,0.8278542116714853
80900,11,1802,41.5,-89.15110499999999,15.77735562,791.4934,21.613276,29.0175,0.8131499999999999,0.8154333333333333,0.8168833333333333,0.8763273730003138
81215,12,1802,41.5,-89.15110499999999,15.77735562,272.1213,19.264427,29.216208,0.8168833333333333,0.8122166666666667,0.8142333333333333,0.8243663118133632
66411,1,1803,51.0,-89.363085,15.36358407,73.509926,20.653904,30.208216,0.8361999999999999,0.8287333333333334,0.8315333333333333,0.8202848391941372
66726,2,1803,51.0,-89.363085,15.36358407,72.55469,22.648348,31.016685,0.8315333333333333,0.8160666666666666,0.8216,0.8183157447280471
